,trial_index,arm_name,trial_status,generation_method,AUC@1,AUC@10,AUC@11,AUC@12,AUC@13,AUC@14,AUC@15,AUC@16,AUC@17,AUC@18,AUC@19,AUC@2,AUC@20,AUC@21,AUC@22,AUC@23,AUC@24,AUC@25,AUC@26,AUC@27,AUC@28,AUC@29,AUC@3,AUC@30,AUC@4,AUC@5,AUC@6,AUC@7,AUC@8,AUC@9,Weighted_AUC,layers,lr,batch_size,aggregation,hid
27,27,27_0,COMPLETED,BoTorch,0.7793539434122273,0.8710052910052911,0.8706709956709956,0.8715367965367965,0.8689655172413794,0.8655592469545959,0.8630121816168328,0.8645625692137321,0.8627012522361359,0.8619186046511628,0.8634615384615384,0.8401710755583716,0.8651672433679354,0.8660000000000001,0.8651629072681705,0.8625776397515528,0.867174959871589,0.8507712944332663,0.8107142857142857,0.7968425425841296,0.776930894308943,0.7052469135802469,0.8525250793106405,0.6374859708193041,0.8546010064701655,0.8551401869158878,0.8597114993904916,0.8649507793273176,0.8642557651991615,0.8704761904761905,0.8478704370010994,2,0.07433032661019366,16,sum,128
8,8,8_0,COMPLETED,BoTorch,0.7085035849202067,0.8714285714285713,0.8724025974025975,0.8745670995670995,0.8746579091406677,0.8729789590254706,0.8736434108527131,0.8768549280177187,0.8792486583184257,0.8777951699463327,0.877262443438914,0.8035799144622208,0.8822376009227221,0.883764705882353,0.8863408521303258,0.8854813664596273,0.8943285179240236,0.8878269617706238,0.8669047619047618,0.8678853344412131,0.864329268292683,0.8317901234567902,0.8231158364057274,0.8092031425364759,0.8253953989935298,0.8307266831966431,0.8446769605851281,0.8526456111566859,0.8579664570230608,0.8675132275132277,0.8562431613022315,2,0.02201284946549259,16,sum,128
2,2,2_0,COMPLETED,Sobol,0.7678667797394189,0.8567195767195768,0.8601731601731601,0.8635281385281386,0.8648056923918993,0.8614617940199335,0.8615725359911406,0.8629014396456256,0.8632602862254024,0.8643783542039356,0.8638009049773755,0.8429431332171708,0.8678200692041522,0.8697647058823529,0.868922305764411,0.8755175983436853,0.8820224719101124,0.8841381623071763,0.8802380952380953,0.8928126298296635,0.8800813008130081,0.8672839506172839,0.8495241361570779,0.866442199775533,0.8427390366642703,0.8389280946023269,0.8367533522958148,0.8415709598031172,0.8433962264150944,0.8526984126984127,0.8565159627074878,3,0.029596803379450407,16,sum,128
12,12,12_0,COMPLETED,BoTorch,0.7768869015496106,0.8751322751322751,0.8773809523809524,0.8794372294372296,0.8794745484400657,0.8775193798449613,0.8775193798449613,0.8777408637873755,0.8765652951699463,0.8775715563506261,0.8790723981900452,0.8274988119752892,0.8826989619377162,0.8832941176470589,0.8842105263157894,0.8834109730848861,0.8948635634028892,0.8848088531187123,0.8604761904761905,0.8720398836726215,0.8648373983739838,0.8587962962962963,0.8446368858784188,0.8260381593714927,0.8441768511861969,0.8436009917985886,0.8558512799674928,0.8641304347826088,0.8693920335429769,0.8733333333333334,0.8651425900841222,3,0.1,64,sum,128
9,9,9_0,COMPLETED,BoTorch,0.7550690000770951,0.8786243386243386,0.8795454545454545,0.8808441558441559,0.880350301039956,0.8791805094130676,0.8788482834994463,0.8791805094130676,0.880031305903399,0.881149373881932,0.8817873303167422,0.8369238080152067,0.8839677047289504,0.8870588235294118,0.8865914786967419,0.8852225672877845,0.8948635634028892,0.8879946344735078,0.8676190476190476,0.8724553385957623,0.8653455284552846,0.8325617283950617,0.850553030952585,0.797979797979798,0.850017972681524,0.8492275414838834,0.8592035757822024,0.8639253486464314,0.8662473794549266,0.8757671957671957,0.8658176581991394,2,0.012563990113187951,16,sum,128
17,17,17_0,COMPLETED,BoTorch,0.7952355254028216,0.8951322751322751,0.8967532467532467,0.8979437229437229,0.8960043787629995,0.893687707641196,0.8944629014396457,0.8952380952380952,0.8950134168157424,0.8957960644007156,0.894683257918552,0.861159512117852,0.8959630911188005,0.8958823529411765,0.8953634085213033,0.8960921325051759,0.9038255751738897,0.8952045606975185,0.8742857142857142,0.8786871624428749,0.8709349593495935,0.8503086419753088,0.8737031638514962,0.8271604938271606,0.871764917325665,0.8716383749761586,0.8813490451036163,0.8843314191960623,0.8879454926624738,0.8944973544973545,0.8828117823596284,3,0.03438267410766178,32,sum,128
18,18,18_0,COMPLETED,BoTorch,0.6408141238146635,0.9068783068783068,0.9141774891774891,0.9169913419913419,0.9174603174603174,0.9145071982281285,0.9109634551495016,0.909966777408638,0.9098837209302326,0.9127906976744186,0.9156108597285068,0.7508316172976399,0.9191464821222607,0.9212941176470587,0.92468671679198,0.9253364389233955,0.9344569288389513,0.9302481556002682,0.9176190476190477,0.929788117989198,0.9344512195121952,0.9220679012345678,0.8192574809225757,0.9023569023569024,0.8275521207764198,0.8326339881747091,0.8561560341324665,0.8805373256767842,0.8959119496855346,0.9022222222222223,0.8835344786232038,3,0.014136018943863056,16,sum,128
20,20,20_0,COMPLETED,BoTorch,0.7609282245008094,0.9028571428571428,0.9064935064935065,0.9069264069264069,0.9080459770114943,0.9071982281284607,0.906423034330011,0.9048726467331119,0.904628801431127,0.9054114490161002,0.9065610859728507,0.7996990337399018,0.9087658592848904,0.9094117647058824,0.912907268170426,0.9136904761904762,0.9209470304975923,0.9164989939637826,0.905,0.9110926464478605,0.9029471544715448,0.8973765432098766,0.8382062934064992,0.866442199775533,0.8481308411214953,0.8513255769597559,0.8777935798455911,0.8867924528301887,0.90125786163522,0.9025396825396825,0.8869424140622744,3,0.07972388373052569,32,sum,128
15,15,15_0,COMPLETED,BoTorch,0.7722611980572046,0.9048677248677248,0.9074675324675325,0.9086580086580086,0.907608100711549,0.906423034330011,0.9067552602436323,0.9083056478405316,0.9067531305903399,0.9075357781753131,0.9091628959276018,0.8523681292570885,0.9104959630911188,0.9110588235294117,0.9109022556390978,0.9117494824016563,0.9192081326912787,0.9097920858484239,0.8938095238095238,0.8948899044453678,0.8846544715447155,0.8834876543209876,0.8710451856297693,0.8540965207631874,0.8787742631200576,0.8785046728971962,0.8893742381145876,0.8941755537325677,0.8973794549266247,0.9040211640211641,0.8925909229788885,3,0.1,32,sum,128
29,29,29_0,COMPLETED,BoTorch,0.6674890139542057,0.9176719576719576,0.9275974025974025,0.9301948051948052,0.9282977558839627,0.9242524916943522,0.9244739756367664,0.9286821705426357,0.9293381037567083,0.929561717352415,0.9302036199095023,0.7641374940598766,0.9309111880046136,0.9317647058823529,0.9354636591478697,0.9363354037267081,0.9424826110219369,0.9394701542588866,0.9376190476190476,0.9472372247611134,0.9451219512195121,0.941358024691358,0.8195147046214523,0.9292929292929293,0.8433680805176133,0.8423612435628457,0.8743396993092238,0.8945857260049221,0.9062893081761006,0.9119576719576719,0.8970394371238242,3,0.016651523253405687,16,mean,128
